,City,Country,Lat,Lng,Hotel Name
1,Rikitea,PF,-23.12,-134.97,Pension Maro'i
21,Hong Kong,HK,22.29,114.16,Royal Plaza Hotel 帝京酒店
43,Yorosso,ML,12.35,-4.78,
179,Ţahţā,EG,26.77,31.5,El Salam Hotel
184,Tambacounda,SN,13.75,-13.76,
212,Mitsamiouli,KM,-11.38,43.28,Al Camar Lodge
278,Aswān,EG,24.09,32.91,Sofitel Legend Old Cataract Aswan
341,Cap Malheureux,MU,-19.98,57.61,Paradise Cove Boutique Hotel
380,Longhua,CN,23.61,114.19,
434,Bandar-e Lengeh,IR,26.56,54.88,Diplomat Hotel
435,Álamos,MX,27.02,-108.93,Hacienda De Los Santos Resort & Spa
447,Nioro,GM,13.35,-15.75,
505,Gusau,NG,12.16,6.66,Green Scenery Hotel
506,Maiduguri,NG,11.85,13.16,AMADA INTERNATIONAL HOTEL
566,Bama,NG,11.52,13.69,Borno State Hotel
